Ch1 Amplitude,Ch2 Amplitude,Cluster
684.8966,3515.028,3
795.966248,2979.10278,3
813.203247,4057.40015,3
834.74054,3272.627,3
843.3147,5229.792,3
847.667053,4371.28662,3
848.9933,4425.372,3
862.5893,4414.20654,3
867.0179,2846.81738,3
873.3565,4870.23926,3
881.564148,4505.94629,3
882.962036,5150.50146,3
884.762268,4860.80859,3
884.9,4550.393,3
887.2649,5252.567,3
888.1828,5099.32666,3
888.242554,4768.01,3
889.2799,5266.62158,3
889.311035,4943.07031,3
892.2095,5401.50537,3
893.498962,5190.23047,3
896.553162,5007.34375,3
897.8122,4774.90332,3
902.574463,5097.60352,3
902.812,5258.896,3
903.3182,5113.51953,3
903.460632,5168.76172,3
903.669739,4867.11572,3
904.0162,4743.784,3
904.935059,5046.337,3
905.431458,4996.726,3
906.9657,5176.541,3
909.812744,5379.9834,3
910.0672,4803.201,3
911.383362,4811.68262,3
911.7249,4550.18945,3
913.2677,5260.19141,3
913.3429,4462.548,3
913.4545,4920.983,3
913.7938,5167.7334,3
913.855469,5124.72852,3
915.792664,4470.649,3
920.5731,5048.7207,3
921.3998,4021.66284,3
921.4636,4975.00439,3
921.504639,4937.624,3
921.799744,5209.675,3
922.0806,5110.238,3
922.1901,5138.8335,3
923.016357,4635.583,3
923.518,4829.575,3
924.736755,4989.226,3
930.1408,5147.87354,3
931.032043,5025.91064,3
932.562439,5367.74951,3
932.632,4772.47949,3
932.785034,4740.72852,3
933.519531,5000.12158,3
933.747559,4879.881,3
934.645935,4958.191,3
935.0121,4333.4375,3
935.992859,4615.19971,3
936.802856,997.2278,3
936.8075,4633.347,3
936.898132,5022.56543,3
937.053162,4595.284,3
937.553833,4965.71143,3
937.802734,4882.372,3
938.01825,5089.84961,3
938.089844,5391.32,3
938.798645,4469.822,3
938.824158,4494.976,3
941.7453,5035.277,3
942.783569,5037.59,3
943.420044,4914.574,3
943.438538,5043.97656,3
943.6049,4937.37842,3
945.0209,4728.79639,3
946.2551,4819.93848,3
946.3528,3883.3396,3
946.6019,4463.04,3
947.149048,4877.516,3
947.8951,5372.929,3
948.4952,5177.17432,3
949.2789,4880.55469,3
949.4066,5138.611,3
950.170044,4699.862,3
950.344055,4681.46143,3
955.083069,4808.68066,3
955.238342,5115.65967,3
955.250366,4689.0083,3
955.9956,4727.0376,3
957.402,5393.329,3
957.438843,5286.05762,3
957.8047,5280.7915,3
958.7694,5045.83936,3
959.3268,5178.349,3
960.318542,5291.33838,3
961.801758,5206.781,3
962.370056,4537.873,3
963.632751,4936.55957,3
964.5142,5171.63965,3
964.7788,4995.51758,3
965.5472,5254.76465,3
965.798767,4861.69141,3
966.0251,4789.88574,3
968.5551,5027.361,3
969.0685,4750.775,3
969.1588,4624.273,3
970.0558,4901.285,3
970.0742,4808.336,3
971.0195,5071.04736,3
972.0324,4964.65137,3
972.4413,5206.00244,3
973.560669,4598.95361,3
974.686,4618.966,3
975.860168,4365.687,3
975.956,3757.71045,3
976.1568,4683.71973,3
978.781,5199.27344,3
979.036743,4451.53857,3
979.6351,4797.72,3
979.9749,4921.43652,3
980.3308,4429.052,3
981.269836,4749.928,3
982.750854,4700.094,3
982.999939,4769.892,3
983.0017,4414.216,3
983.172,4862.82227,3
983.297058,4785.67969,3
983.8834,5240.552,3
984.9042,4796.821,3
985.2996,4843.43457,3
985.602234,5436.109,3
986.425842,4643.063,3
987.4577,4956.683,3
988.2417,5043.80225,3
988.7965,4976.20361,3
989.9457,4889.875,3
990.006836,4656.34668,3
991.3781,4375.81738,3
993.9171,5329.61,3
995.099548,4986.918,3
995.179138,4634.976,3
995.57196,4989.7666,3
996.5071,4846.33252,3
996.6401,949.602539,3
996.6537,2990.569,3
996.7066,5092.18652,3
996.8793,4764.577,3
997.0927,4895.797,3
998.131042,4634.31836,3
998.2705,4764.0293,3
998.2809,2999.567,3
998.3258,4881.31445,3
998.3955,5273.767,3
998.7912,4972.37451,3
999.1804,4659.296,3
999.2656,5009.397,3
1000.4953,4949.575,3
1000.56902,3010.35906,3
1000.98035,4729.4,3
1001.4569,3001.4579,3
1002.34119,5064.81445,3
1002.428,4917.307,3
1005.09245,3005.2369,3
1005.13916,4533.6,3
1005.33765,4655.02441,3
1006.15961,5373.56445,3
1006.17065,5213.50146,3
1006.60571,4576.389,3
1006.64856,5283.8584,3
1006.75055,5060.17432,3
1007.01257,3005.367,3
1008.29626,4964.69238,3
1009.62469,5128.583,3
1009.71582,5475.80273,3
1009.89,3007.987,3
1010.68677,4994.40332,3
1011.987,3080.884,3
1012.14661,5242.54443,3
1012.245,3025.689,3
1013.0359,3008.345,3
1014.82843,4867.176,3
1016.497,5223.35352,3
1018.984,3070.892,3
1019.737,4651.306,3
1019.987,3040.678,3
1020.05164,4860.207,3
1020.22296,5017.12646,3
1020.85144,4930.556,3
1021.72437,4944.577,3
1022.0986,3060.789,3
1022.16211,4858.26758,3
1022.988,4838.03027,3
1026.55042,4566.459,3
1027.14661,5021.763,3
1028.90833,5032.11963,3
1033.48511,4780.55566,3
1033.91528,4855.84473,3
1034.0923,3023.589,3
1034.1803,4718.112,3
1038.63135,4896.63672,3
1043.597,4766.64258,3
1047.28308,4842.673,3
1048.8902,3010.459,3
1052.02014,5019.488,3
1052.32324,5109.1665,3
1059.82642,5107.813,3
1060.903,3006.8935,3
1062.71863,4923.60352,3
1063.53015,4374.367,3
1068.99963,5145.92139,3
1069.99993,3001.0256,3
1072.22607,4597.36768,3
1073.54553,5090.936,3
1075.902,3023.89,3
1080.43091,4651.56738,3
1093.69385,4526.588,3
1101.90442,5138.9873,3
1101.91,3008.902,3
1127.509,5390.563,3
1134.02539,5105.606,3
1188.71423,5189.99658,3
1200.37415,4518.918,3
1272.00659,906.488342,3
1364.74927,4080.60229,3
1446.91589,4172.6875,3
1455.08472,4525.08,3
1472.46875,4513.416,3
1518.92,2929.43262,3
1529.4552,4066.977,3
1579.70618,3838.53,3
1677.1394,4015.35181,3
1686.55334,3957.05127,3
1729.55933,957.8521,3
1853.67969,3062.4834,3
1875.77185,3542.62842,3
1938.87085,3213.25366,3
1977.05383,3071.46631,3
2099.02612,881.2967,3
2123.06445,2468.10522,3
2152.20361,2172.39136,3
2184.45679,2241.564,3
2187.723,1111.02869,3
2212.26343,1091.64722,3
2213.15381,1039.61523,3
2229.50366,889.033447,3
2240.98486,1128.44958,3
2250.5686,1055.83118,3
2252.316,1101.09973,3
2253.347,1081.55884,3
2254.11426,1088.71631,3
2258.00146,1036.029,3
2259.0874,1055.9353,3
2259.9375,1223.48218,3
2260.516,1076.82581,3
2260.76,991.3783,3
2260.86353,1008.98175,3
2260.90674,1012.07458,3
2264.453,1122.54688,3
2266.85645,1023.93378,3
2267.31934,1037.86,3
2268.054,1045.86108,3
2268.20459,1090.7373,3
2268.20825,1078.80872,3
2268.82471,1143.9917,3
2269.95654,1056.02307,3
2270.301,1158.44031,3
2271.38721,1096.14758,3
2271.73877,1132.25659,3
2271.77539,1147.28845,3
2272.16479,1181.706,3
2273.40576,1065.602,3
2273.60352,1083.98364,3
2273.73462,1046.23132,3
2273.94751,1021.72339,3
2274.193,1060.342,3
2274.22949,1092.22241,3
2274.27686,1052.38293,3
2274.465,1078.8551,3
2275.9043,1096.6488,3
2275.963,1102.45435,3
2276.645,998.7216,3
2277.486,1076.62573,3
2277.90967,1035.747,3
2278.515,1134.83936,3
2278.91162,1043.9801,3
2280.11353,1028.60376,3
2280.40479,1144.99988,3
2281.0647,1113.84692,3
2281.399,1096.71948,3
2281.48242,1046.492,3
2281.66455,1058.29663,3
2282.149,1057.77515,3
2282.29858,1037.79871,3
2282.48877,1136.72058,3
2283.58862,1099.69788,3
2284.14,1097.62146,3
2284.6333,1070.7699,3
2284.994,977.887634,3
2285.156,1052.964,3
2285.64868,1027.74792,3
2286.27563,1078.3916,3
2286.92456,1020.99274,3
2287.27319,1066.17285,3
2288.01172,1100.62231,3
2288.58032,1149.03308,3
2289.04956,1077.609,3
2289.22388,1144.84473,3
2289.2937,1040.64417,3
2289.52246,1143.81091,3
2289.82178,1031.47925,3
2289.85156,1055.22009,3
2289.91577,1160.3147,3
2290.116,1015.77673,3
2290.44653,1043.92432,3
2290.872,1140.67407,3
2291.088,1120.9,3
2291.721,1043.98474,3
2291.84961,1184.07959,3
2292.43481,1101.37439,3
2292.468,1083.51074,3
2292.61084,1008.80054,3
2292.68213,1072.86047,3
2292.818,1110.31555,3
2293.05859,1060.30347,3
2293.69287,1119.29358,3
2293.88452,1144.84021,3
2293.946,1133.27539,3
2294.39844,1027.85254,3
2294.43237,1082.0177,3
2294.47974,1054.78735,3
2294.62231,1118.2052,3
2295.1853,1065.41821,3
2295.237,1053.45068,3
2295.314,1132.3092,3
2295.64722,1009.05792,3
2295.69849,1100.83337,3
2296.064,1079.63953,3
2296.702,1089.79126,3
2296.79175,999.1134,3
2296.801,1082.2489,3
2297.0083,1100.11072,3
2297.76538,1025.80652,3
2297.82,999.827637,3
2297.88379,1041.69006,3
2297.925,1062.55054,3
2298.07739,1106.85925,3
2298.11523,1076.82153,3
2298.346,1063.068,3
2298.426,1082.0686,3
2298.52466,1008.98657,3
2298.85767,993.500549,3
2298.936,1039.17871,3
2298.96143,1099.61072,3
2299.09253,1117.94177,3
2299.57275,1116.48438,3
2299.603,1012.56708,3
2299.68579,1054.3761,3
2300.03223,1123.60962,3
2300.189,1058.92175,3
2300.35742,1107.46,3
2300.65356,1003.36493,3
2300.66455,1042.21985,3
2300.75537,1087.41541,3
2300.771,1017.23254,3
2300.986,1055.31519,3
2301.066,1103.752,3
2301.15234,1029.318,3
2301.32568,976.415039,3
2301.42334,1111.32422,3
2301.58325,1019.80719,3
2301.61865,1111.82959,3
2301.77,1086.60315,3
2301.78662,1082.84473,3
2301.80054,1020.514,3
2301.95654,1068.60413,3
2302.03369,1041.45,3
2302.18335,1044.3645,3
2302.41235,1105.8988,3
2302.47119,1040.698,3
2302.684,1136.40125,3
2302.82861,1155.94238,3
2302.83423,1088.86987,3
2302.94141,997.3088,3
2303.19019,1053.04773,3
2303.21533,998.6185,3
2303.3,1089.37976,3
2303.446,1140.64343,3
2303.79639,1015.3736,3
2303.87231,1046.82935,3
2304.05933,1073.249,3
2304.22827,1165.60132,3
2304.29541,995.4719,3
2304.618,1058.32947,3
2304.681,976.4588,3
2305.04883,1050.45313,3
2305.0918,1054.19873,3
2305.11475,999.3164,3
2305.123,1130.26282,3
2305.2937,1027.11572,3
2305.6394,1078.6366,3
