Ch1 Amplitude,Ch2 Amplitude,Cluster
2256.01147,1024.74622,1
2256.19653,985.0676,1
2256.54126,1064.12488,1
2257.91064,1054.27478,1
2265.60449,1111.74658,1
2268.624,1132.40759,1
2271.172,1034.04138,1
2274.41016,1117.54382,1
2277.40186,1072.7948,1
2280.16919,1036.00085,1
2280.35815,1024.21143,1
2282.38477,1017.40741,1
2286.86743,1043.96558,1
2288.96631,1072.06519,1
2289.21362,1056.47729,1
2289.573,1068.92871,1
2291.27783,934.6607,1
2291.76147,1115.10315,1
2292.48462,1138.54089,1
2292.63379,1052.917,1
2293.29,1016.50079,1
2296.02759,1058.10876,1
2298.03418,1125.68677,1
2298.30933,944.7237,1
2298.67969,998.4999,1
2299.04053,1073.99622,1
2299.05981,979.221741,1
2299.21045,1016.13934,1
2299.42285,1019.42975,1
2299.595,1006.32758,1
2301.002,1052.49573,1
2301.646,1069.38745,1
2302.049,999.7524,1
2302.82935,1004.10522,1
2305.4856,1003.38336,1
2305.55615,1021.63409,1
2305.56763,1079.58435,1
2305.64722,1089.5719,1
2305.737,1017.89526,1
2305.84058,1142.1167,1
2305.94116,1111.03992,1
2306.258,1078.07727,1
2306.44116,1018.8382,1
2306.73828,1017.62213,1
2307.63721,1075.46082,1
2308.09,1062.94312,1
2308.0957,1021.96539,1
2308.70654,1053.24329,1
2309.27319,1083.90039,1
2309.89258,1069.1958,1
2310.05884,979.991638,1
2311.02319,1091.15442,1
2311.11572,1071.94092,1
2311.27075,1017.00421,1
2311.317,1103.32983,1
2311.3894,917.0005,1
2311.639,1077.00842,1
2311.77539,993.598267,1
2311.90259,1050.38684,1
2313.6084,1047.56177,1
2313.62744,1021.72571,1
2314.539,1062.51233,1
2315.05322,1065.84619,1
2315.69287,1131.80615,1
2315.74365,1007.3244,1
2315.86621,1003.61029,1
2316.92017,1066.1864,1
2317.44751,1003.99316,1
2317.53125,1101.273,1
2317.62646,998.821838,1
2318.278,998.5936,1
2318.36816,1001.44373,1
2318.468,1038.38525,1
2318.73218,935.3326,1
2319.13013,1084.26941,1
2319.47241,993.4933,1
2319.48877,1059.39368,1
2319.54834,1131.46777,1
2319.56421,981.074158,1
2319.661,1111.538,1
2320.19482,1055.05151,1
2320.267,1016.92957,1
2320.55249,958.0919,1
2320.948,1041.5188,1
2320.97852,1093.84888,1
2321.01514,1023.33051,1
2321.27075,1078.68042,1
2321.62866,983.6479,1
2321.67529,1055.54688,1
2321.87036,1113.96472,1
2322.16772,1052.53479,1
2322.40356,1003.1532,1
2322.67139,1107.93848,1
2323.38354,1063.04016,1
2323.4502,1110.06445,1
2323.47852,1101.948,1
2323.517,1079.11816,1
2323.56421,939.5554,1
2323.69238,1076.99634,1
2323.712,1030.00024,1
2323.84082,1077.79822,1
2323.98828,1053.22888,1
2324.04736,1143.255,1
2324.34546,1076.435,1
2324.52075,1069.6405,1
2324.53052,1031.123,1
2324.66577,1045.63135,1
2324.73071,1081.48181,1
2324.87915,1016.545,1
2324.88281,1017.83771,1
2324.91919,1089.3772,1
2325.0415,1152.75562,1
2325.05469,1008.35236,1
2325.20435,1095.49109,1
2325.7124,1028.33765,1
