Ch1 Amplitude,Ch2 Amplitude,Cluster
1021.5712,4837.79248,4
1042.5566,4702.019,4
1045.735,4702.88135,4
1046.501953,4591.548,4
1050.0491,4660.74951,4
1052.0038,5084.23535,4
1056.192139,4457.987,4
1060.184753,5067.06934,4
1060.5301,5119.484,4
1061.8799,4387.965,4
1062.862061,5240.067,4
1063.159241,5641.77832,4
1063.3225,4345.08032,4
1066.866333,5011.45264,4
1069.0265,4719.47852,4
1069.9268,4604.68652,4
1070.1689,5026.984,4
1070.517,4642.79248,4
1071.5732,4628.501,4
1071.679443,4952.499,4
1072.2544,4526.133,4
1073.414551,4404.999,4
1073.921143,4740.15771,4
1075.9794,4904.2876,4
876.1044,3019.27515,4
1076.9785,4402.627,4
1078.014648,4713.123,4
1078.3575,4418.481,4
1078.368652,4687.066,4
1079.909241,4746.321,4
1081.078735,4889.34326,4
1081.5821,4775.058,4
1082.4068,4745.37158,4
1082.8214,4630.13867,4
1083.4535,4529.443,4
1083.8485,4828.859,4
1085.194336,4749.338,4
1085.802734,4501.541,4
1086.7948,4642.98633,4
887.103455,2982.395,4
1087.3403,4955.21631,4
1088.2672,4641.52441,4
1089.4068,4657.7583,4
1089.493652,5296.624,4
1089.5946,4586.769,4
1090.437866,5031.332,4
1091.4397,4423.22949,4
1093.727234,4851.34375,4
1095.26,4977.20752,4
1099.7179,4660.705,4
1100.516968,4881.183,4
1101.7599,4557.90039,4
1101.9251,4690.06641,4
1102.9978,4662.327,4
1104.3038,4461.569,4
1104.7877,4491.04,4
1105.418945,4930.90332,4
1106.4146,4560.225,4
1106.7537,4558.59229,4
1107.2545,4447.34473,4
1107.745361,4736.9043,4
1108.0449,4828.963,4
1109.0735,4507.717,4
1110.0295,4625.925,4
1110.1376,4555.17871,4
1110.402,4730.621,4
1111.511658,4854.29,4
1112.056763,4810.896,4
1112.1532,4074.37134,4
1112.364746,4461.901,4
1114.577942,4496.727,4
1114.8958,4591.94873,4
1115.364,4646.04736,4
1115.8991,4779.80273,4
1116.186,4646.6333,4
1117.3933,4771.88135,4
1117.573364,4265.95215,4
1120.5206,4850.51367,4
1120.560852,4841.47754,4
1120.6197,4949.27,4
1120.764832,4428.92773,4
1122.185852,4557.463,4
1123.156555,4502.009,4
1123.6523,4701.72266,4
1124.099731,5059.12061,4
1124.420044,5255.07861,4
1124.88,4559.082,4
1126.4602,4910.24268,4
1127.115845,4761.25635,4
1128.2538,4302.77686,4
1129.1005,4802.968,4
1130.1791,4392.00049,4
1132.1105,4505.453,4
1132.8429,4668.481,4
1132.89325,4624.438,4
1133.048645,4354.93066,4
1133.583435,4646.75635,4
1134.139954,4378.80127,4
1134.866333,4474.676,4
1135.585938,4739.38135,4
1135.9249,4255.18164,4
1136.313965,4505.002,4
1137.1586,4621.235,4
1138.454,4260.0874,4
1139.0958,4569.718,4
1139.191956,5328.74072,4
1139.6277,4753.50537,4
1141.630432,4402.769,4
1141.9915,4452.74756,4
1142.9484,4723.2,4
1144.452759,4473.68,4
1144.521362,4772.805,4
1144.9823,4423.572,4
1146.0026,4865.57568,4
1149.614258,4607.94141,4
1149.8122,4672.56152,4
1149.8672,4475.396,4
1149.993958,4772.436,4
1150.585266,4585.347,4
1150.7672,4594.12549,4
1152.075256,4616.13525,4
1152.239441,4654.82031,4
1152.2923,4381.425,4
1152.528931,4532.563,4
1153.5127,4450.63672,4
1155.1025,4530.109,4
1155.8969,4707.18652,4
1156.096,4348.1377,4
1156.423157,4736.43066,4
1157.190857,4286.10254,4
957.7125,3412.41943,4
1158.6679,4498.003,4
1159.244446,4609.7207,4
1161.0772,4615.395,4
1162.543152,4400.74,4
1162.6592,4574.616,4
1163.334534,4541.45068,4
1163.502136,4959.10938,4
1164.056152,4359.30859,4
1164.281555,4681.95654,4
1166.19165,4423.2915,4
1166.3319,4582.433,4
1166.8706,4533.25732,4
1167.1054,4269.905,4
1167.7102,4523.1665,4
1167.9021,4536.2583,4
1168.04364,4412.38525,4
1168.7881,4637.273,4
1173.6219,4367.11865,4
1173.753052,4585.58057,4
1174.4067,4220.05054,4
1176.5889,4752.394,4
1176.589844,4672.82,4
1177.2752,4584.756,4
1177.5024,4849.30859,4
1177.63916,4571.433,4
1178.148132,4753.6333,4
1178.3111,5402.19141,4
1178.8635,4441.62354,4
1179.251465,4493.65771,4
1179.908264,4366.98535,4
1180.068542,4447.59375,4
1180.928,4341.92065,4
1181.1105,4448.90527,4
1181.3449,4381.135,4
1181.6692,1159.1679,1
1182.215454,4689.92871,4
1183.2233,4195.50537,4
1183.682,4578.506,4
1184.8671,4574.87,4
1187.007446,4470.034,4
1187.027039,4577.596,4
1188.334534,4568.19434,4
988.544067,3079.32227,4
1189.7934,4436.32,4
991.586243,3368.66821,4
1191.988037,4257.213,4
1192.4352,4323.66528,4
1193.1876,4346.80273,4
1193.2836,5090.03955,4
1195.158447,3559.35474,4
1198.641,4252.48535,4
999.9609,3124.39087,4
1203.3894,4612.574,4
1004.8061,3084.77979,4
1205.842834,4576.02246,4
1206.8532,4523.95,4
1206.9025,4710.642,4
1208.7352,4551.58643,4
1209.779358,4476.67871,4
1209.9761,4357.527,4
1010.7844,3113.749,4
1013.7142,3350.732,4
1213.920532,4035.88452,4
1014.110352,3161.98755,4
1214.631653,4326.20679,4
1020.5204,3225.585,4
1021.3106,2990.64429,4
1223.958557,4384.225,4
1024.9691,2995.62,4
1025.740356,3267.99219,4
1030.596741,3154.62573,4
1030.819641,3164.66479,4
1032.334534,3129.43628,4
1032.4901,3329.90039,4
1032.6393,3143.61841,4
1033.323364,3182.988,4
1034.5788,3386.92773,4
1034.6004,3192.46851,4
1035.353943,3250.16919,4
1035.7216,3054.77075,4
1035.9184,3155.36816,4
1036.071167,3018.1897,4
1036.983,2994.89746,4
1037.280945,3163.019,4
1038.2563,3118.1582,4
1040.085632,3408.188,4
1040.112854,3328.02344,4
1040.3837,3184.03857,4
1041.9582,3148.117,4
1041.997559,3188.80249,4
1044.1329,3083.17773,4
1045.0337,3203.774,4
1245.3627,4301.543,4
1245.514832,3548.31519,4
1046.073,3067.14453,4
1046.21,3322.5,4
1046.996948,3172.402,4
1047.079651,3306.40479,4
1048.3262,3053.62646,4
1048.3945,2778.34937,4
1048.400757,3170.09741,4
1048.499451,3036.47144,4
1048.5502,3228.48633,4
1048.750366,2936.32373,4
1048.804,3101.15674,4
1049.539368,3015.42041,4
1049.694031,3158.66431,4
1051.3052,2919.63672,4
1051.5836,3206.75,4
1051.886658,3370.53345,4
1052.8328,3234.87671,4
1053.199768,3126.64966,4
1053.6185,3284.21216,4
1053.644,3268.56934,4
1054.3469,3223.043,4
1055.5757,3105.26514,4
1056.5159,2994.95972,4
1057.2128,3094.19238,4
1058.3417,3358.83252,4
1058.452,3078.21533,4
1058.5476,3173.64185,4
1058.6323,2951.119,4
1058.8142,3059.19824,4
1059.802734,3318.889,4
1060.2709,3302.76025,4
1060.3687,2977.15771,4
1060.5332,3043.78516,4
1061.7352,2936.377,4
1261.816162,1172.0242,1
1062.292053,3147.0874,4
1062.3868,3388.22217,4
1062.4746,3213.95679,4
1063.2838,2949.35986,4
1063.5876,3115.60718,4
1063.605164,3192.79272,4
1065.6515,2990.90967,4
1066.1091,3147.55127,4
1066.4711,2991.72363,4
1067.2283,3106.53418,4
1067.445862,3078.50171,4
1067.497437,3129.45044,4
1067.911,3136.44,4
1067.9973,3078.04077,4
1068.9545,3082.612,4
1269.262268,1498.73059,1
1069.2911,3012.765,4
1269.4705,1700.85217,4
1069.4948,3214.42529,4
1069.724243,2809.79932,4
1070.403748,3109.84985,4
1270.4546,4159.03784,4
1070.6285,3245.681,4
1270.7321,2351.92676,4
1071.0159,3083.76538,4
1071.1921,2921.23926,4
1071.6226,3151.45117,4
1072.0261,2965.10449,4
1072.8571,3166.67969,4
1072.8678,2783.23,4
1072.9772,3228.86133,4
1073.1256,3100.41919,4
1073.4983,3190.36987,4
1073.788,3146.97437,4
1075.8402,3089.731,4
1076.3202,2991.81616,4
1076.4987,3004.34351,4
1076.6363,3417.696,4
1077.1449,3073.23584,4
1077.188,3115.80371,4
1078.1288,3296.30078,4
1078.7497,3195.50464,4
1079.168152,3310.44019,4
1079.541748,2859.10449,4
1080.436035,3195.28955,4
1080.71936,3137.85474,4
1081.21814,3122.04688,4
1081.375061,3112.08032,4
1081.6695,3158.39722,4
1081.9138,2988.688,4
1082.2161,3417.90161,4
1282.3167,2377.07471,4
1082.441,3061.89282,4
1082.9791,3102.84668,4
1083.0994,3079.14575,4
1083.135132,3016.04688,4
1083.493164,3127.48462,4
1084.651062,3002.75366,4
1084.736938,3280.81836,4
1085.4394,3391.19263,4
1085.475037,3144.46875,4
1086.505,3031.86475,4
1086.664551,3133.77563,4
1086.693237,2938.04224,4
1086.8416,2921.81738,4
1087.4969,3166.942,4
1087.6484,3049.91431,4
1088.2802,3163.21558,4
1088.334167,3020.565,4
1088.6992,3132.94946,4
1089.2855,3083.98755,4
1089.6085,2626.44922,4
1090.6723,3128.75732,4
1091.105042,2902.387,4
1091.8756,3291.96533,4
1092.0679,3388.22876,4
1092.496765,3039.12427,4
1092.890869,3044.03857,4
1093.078857,3079.12964,4
1093.407837,3205.66431,4
1293.876953,2499.38647,4
1093.967163,3188.93286,4
1094.3467,3141.884,4
1094.3737,3113.418,4
1094.6124,2964.022,4
1096.0116,3049.6394,4
1296.665955,1930.24109,4
1096.7576,3021.239,4
1097.085,3186.62549,4
1097.2405,3046.02979,4
1098.30365,2889.52856,4
1098.4154,3281.28857,4
1098.5168,3024.46436,4
1098.5697,3000.04761,4
1098.7395,3132.5127,4
1099.079468,3103.36475,4
1100.217163,3113.82764,4
1100.3931,3156.16016,4
1100.410339,2915.422,4
1100.4238,2875.54321,4
1100.4389,2847.337,4
1100.9844,3346.48926,4
1103.5032,3005.10034,4
1103.8538,3131.87842,4
1105.062134,3134.92017,4
1105.2543,3131.77,4
1105.8792,2979.569,4
1105.912537,3102.67017,4
1105.941,3177.62646,4
1106.3109,3094.91553,4
1107.153137,3053.81763,4
1107.4649,3322.36743,4
1107.745361,3147.70972,4
1107.9278,3062.01147,4
1108.096741,2940.36255,4
1108.1501,2921.939,4
1108.2004,3153.317,4
1108.3078,3109.83276,4
1110.1837,3259.81128,4
1110.2908,3125.15259,4
1111.19574,2930.75977,4
1111.2058,3066.28564,4
1111.266,3159.80957,4
1111.4917,3354.90552,4
1111.9498,3050.7124,4
1112.7835,3091.293,4
1112.8741,3067.773,4
1113.0829,3040.98779,4
1113.421,2794.95435,4
1113.603638,3157.1875,4
1113.9941,3026.61621,4
1114.1592,2885.19531,4
1114.2775,2924.208,4
1114.7229,3094.36816,4
1115.1593,2892.75439,4
1115.4312,2991.298,4
1116.358154,3013.94482,4
1116.720154,3053.4397,4
1117.372131,3018.345,4
1117.581,2986.056,4
1117.6449,3221.587,4
1117.823853,2892.07935,4
1117.872864,2994.59619,4
1118.5631,3083.17627,4
1118.8486,3077.09839,4
1119.144531,3275.236,4
1119.3706,3086.58984,4
1120.647949,3118.524,4
1320.756653,2103.92065,4
1121.3322,3113.24072,4
1121.5722,3012.315,4
1122.045532,3056.74634,4
1122.5902,3161.885,4
1322.900452,4351.2915,4
1123.3351,3022.406,4
1123.4888,2699.231,4
1124.6597,3197.88184,4
1125.34845,3147.37573,4
1125.394958,3065.282,4
1126.430847,3010.829,4
1126.5117,2981.85,4
1127.3021,3131.359,4
1127.8423,3065.27612,4
1127.9226,2883.814,4
1128.255859,2943.12085,4
1128.4195,3000.004,4
1129.496948,3124.686,4
1129.699463,2921.598,4
1129.8335,3174.095,4
1131.379761,3064.986,4
1132.8551,2997.59937,4
1133.7597,3149.76758,4
1134.0769,2944.74414,4
1134.290955,2978.23535,4
1134.4342,3110.20947,4
1334.8106,1354.83044,1
1135.586548,2921.652,4
1136.2997,2916.59741,4
1138.013367,3061.066,4
1138.726746,2825.396,4
1138.9685,3010.456,4
1139.088562,3126.14233,4
1139.131165,2938.02222,4
1139.6351,3115.71631,4
1139.6981,2924.988,4
1140.104,3084.71362,4
1141.3758,2852.71875,4
1142.0183,3011.78,4
1142.389,3003.01538,4
1142.7006,3202.66772,4
1143.4181,3044.14282,4
1143.4632,2837.51245,4
1144.0965,3094.30444,4
1144.4767,3039.12158,4
1144.528,2971.342,4
1144.7633,3145.814,4
